[5/31/23, 17:42:05] Хабиб Вентиляция : ‎Сообщения и звонки защищены сквозным шифрованием. Прочитать, прослушать или переслать их могут только участники этого чата.
[5/31/23, 17:42:05] Хабиб Вентиляция : ‎‎‎Хабиб Вентиляция  использует автоматический таймер для исчезающих сообщений в новых чатах. ‎Новые несохраненные сообщения исчезнут из этого чата через ‎24 часа после отправки. ‎Нажмите, чтобы установить свой автоматический таймер.
[6/9/23, 14:12:06] Хабиб Вентиляция : ‎‎Хабиб Вентиляция  отключил(-а) исчезающие сообщения. ‎Нажмите, чтобы изменить.
[6/9/23, 14:13:53] investklimat: Валейкум Ассалам
‎[10/8/25, 18:04:40] investklimat: ‎<прикреплено: 00011024-AUDIO-2025-10-08-18-04-40.opus>
‎[10/8/25, 18:06:15] investklimat: ‎<прикреплено: 00011025-AUDIO-2025-10-08-18-06-15.opus>
[10/8/25, 18:20:55] Хабиб Вентиляция : 15
‎[10/8/25, 18:22:20] investklimat: ‎<прикреплено: 00011027-AUDIO-2025-10-08-18-22-20.opus>
‎[10/8/25, 18:22:34] Хабиб Вентиляция : ‎изображение отсутствует
‎[10/8/25, 18:23:28] investklimat: ‎<прикреплено: 00011029-AUDIO-2025-10-08-18-23-28.opus>
‎[10/8/25, 19:39:12] Хабиб Вентиляция : ‎видео отсутствует
‎[10/8/25, 19:40:49] investklimat: ‎<прикреплено: 00011031-AUDIO-2025-10-08-19-40-49.opus>
[10/8/25, 19:41:08] Хабиб Вентиляция : Крашеная
[10/8/25, 19:41:59] Хабиб Вентиляция : Можно поставить?
‎[10/8/25, 19:42:12] investklimat: ‎<прикреплено: 00011034-AUDIO-2025-10-08-19-42-12.opus>
[10/8/25, 19:42:13] Хабиб Вентиляция : Они же его все равно будут красить
‎[10/8/25, 19:42:30] investklimat: ‎<прикреплено: 00011036-AUDIO-2025-10-08-19-42-30.opus>
‎[10/8/25, 19:43:54] Хабиб Вентиляция : ‎видео отсутствует
‎[10/8/25, 19:45:50] investklimat: ‎<прикреплено: 00011038-AUDIO-2025-10-08-19-45-50.opus>
‎[10/8/25, 19:46:33] Хабиб Вентиляция : ‎видео отсутствует
‎[10/8/25, 19:51:01] investklimat: ‎<прикреплено: 00011040-AUDIO-2025-10-08-19-51-01.opus>
[10/8/25, 19:51:18] investklimat: Там на кухне все в видимой зоне, поэтому тоже красим
[10/8/25, 19:51:48] Хабиб Вентиляция : Хорошо брат
[10/8/25, 19:51:58] Хабиб Вентиляция : Завтра с утра добью
[10/8/25, 19:52:03] Хабиб Вентиляция : И гидро
[10/9/25, 13:27:48] Хабиб Вентиляция : Ассаламу алайкум брат
[10/9/25, 13:28:17] Хабиб Вентиляция : Динислам спрашивал какой дифузор ставить
[10/9/25, 13:28:22] Хабиб Вентиляция : Показывал
[10/9/25, 13:28:26] investklimat: Ваалейкум Ассалам
‎[10/9/25, 13:28:57] investklimat: ‎<прикреплено: 00011049-AUDIO-2025-10-09-13-28-57.opus>
[10/9/25, 13:28:59] Хабиб Вентиляция : Я сказал к тебе все вопросы
‎[10/9/25, 13:29:35] Хабиб Вентиляция : ‎<прикреплено: 00011051-AUDIO-2025-10-09-13-29-35.opus>
‎[10/9/25, 13:30:34] investklimat: ‎<прикреплено: 00011052-AUDIO-2025-10-09-13-30-34.opus>
‎[10/9/25, 13:30:48] investklimat: ‎<прикреплено: 00011053-PHOTO-2025-10-09-13-30-47.jpg>
[10/9/25, 13:33:34] Хабиб Вентиляция : Да да
[10/9/25, 15:48:20] Хабиб Вентиляция : На зонте гофру надо делать
[10/9/25, 15:51:21] Хабиб Вентиляция : И кафель надо ставить
[10/9/25, 15:51:38] Хабиб Вентиляция : Потом гулять на будет зонт не смогут ставить
‎[10/9/25, 16:15:59] investklimat: ‎аудиофайл отсутствует
‎[10/9/25, 16:23:28] Хабиб Вентиляция : ‎<прикреплено: 00011060-AUDIO-2025-10-09-16-23-28.opus>
[10/9/25, 16:31:00] investklimat: На большом?
[10/9/25, 16:31:34] Хабиб Вентиляция : Да
‎[10/9/25, 16:33:44] investklimat: ‎<прикреплено: 00011063-AUDIO-2025-10-09-16-33-43.opus>
[10/9/25, 16:35:57] Хабиб Вентиляция : Конечно
[10/9/25, 16:36:13] Хабиб Вентиляция : Заказать не нужно ни чего
‎[10/9/25, 16:36:41] investklimat: ‎<прикреплено: 00011066-PHOTO-2025-10-09-16-36-41.jpg>
‎[10/9/25, 16:37:23] investklimat: ‎<прикреплено: 00011067-AUDIO-2025-10-09-16-37-22.opus>
‎[10/9/25, 16:38:12] investklimat: ‎<прикреплено: 00011068-AUDIO-2025-10-09-16-38-12.opus>
[10/9/25, 16:39:02] Хабиб Вентиляция : Полностью закрывают потолок?
‎[10/9/25, 16:39:35] investklimat: ‎<прикреплено: 00011070-AUDIO-2025-10-09-16-39-35.opus>
‎[10/9/25, 16:40:20] investklimat: ‎<прикреплено: 00011071-VIDEO-2025-10-09-16-40-20.mp4>
[10/9/25, 16:41:11] Хабиб Вентиляция : Двумя отводами можно
‎[10/9/25, 16:42:50] investklimat: ‎<прикреплено: 00011074-AUDIO-2025-10-09-16-42-50.opus>
‎[10/9/25, 16:46:03] Хабиб Вентиляция : ‎<прикреплено: 00011076-AUDIO-2025-10-09-16-46-03.opus>
[10/9/25, 17:13:08] Хабиб Вентиляция : Сделать его?
[10/9/25, 17:13:16] Хабиб Вентиляция : Эту?
[10/9/25, 17:13:45] investklimat: Да
‎[10/9/25, 18:04:07] investklimat: ‎<прикреплено: 00011080-AUDIO-2025-10-09-18-04-07.opus>
[10/9/25, 18:08:04] Хабиб Вентиляция : Да они тут брат
‎[10/9/25, 18:08:49] Хабиб Вентиляция : ‎<прикреплено: 00011082-VIDEO-2025-10-09-18-08-49.mp4>
‎[10/9/25, 18:12:14] investklimat: ‎<прикреплено: 00011083-PHOTO-2025-10-09-18-12-14.jpg>
‎[10/9/25, 18:13:09] investklimat: ‎<прикреплено: 00011084-AUDIO-2025-10-09-18-13-09.opus>
[10/10/25, 16:46:29] Хабиб Вентиляция : Ассаламу алайкум
[10/10/25, 16:46:36] Хабиб Вентиляция : Как дела брат
[10/10/25, 16:47:04] Хабиб Вентиляция : Отверстие
[10/10/25, 16:47:15] Хабиб Вентиляция : Кафель когда поставят
[10/10/25, 16:47:49] investklimat: Ваалейкум ассалам
[10/10/25, 16:48:11] investklimat: Сейчас спрошу в группе
[10/10/25, 16:48:32] Хабиб Вентиляция : Завтра мне выйти там делать нечего
‎[10/10/25, 16:49:05] investklimat: ‎<прикреплено: 00011092-AUDIO-2025-10-10-16-49-05.opus>
‎[10/10/25, 19:39:05] investklimat: ‎<прикреплено: 00011093-AUDIO-2025-10-10-19-39-05.opus>
[10/10/25, 19:39:15] investklimat: Кафельщик
[10/10/25, 19:39:28] investklimat: +7 913 838‑05‑05
‎[10/10/25, 21:19:48] Хабиб Вентиляция : ‎<прикреплено: 00011096-AUDIO-2025-10-10-21-19-48.opus>
[10/11/25, 11:42:19] Хабиб Вентиляция : Ассаламу алайкум
[10/11/25, 11:42:27] Хабиб Вентиляция : 315труба нужно
[10/11/25, 11:42:30] Хабиб Вентиляция : 1шт
[10/11/25, 11:42:36] Хабиб Вентиляция : 125
[10/11/25, 11:43:51] investklimat: Ваалейкум Ассалам
[10/11/25, 11:45:41] Хабиб Вентиляция : Не хватает
[10/11/25, 11:45:42] investklimat: Там 2 было или одна?
[10/11/25, 11:45:50] Хабиб Вентиляция : На обвязку
[10/11/25, 11:45:59] Хабиб Вентиляция : 1шт метр
[10/11/25, 11:46:04] Хабиб Вентиляция : 1 125
‎[10/11/25, 11:53:36] investklimat: ‎<прикреплено: 00011107-AUDIO-2025-10-11-11-53-36.opus>
‎[10/11/25, 12:13:57] investklimat: ‎<прикреплено: 00011109-AUDIO-2025-10-11-12-13-57.opus>
[10/11/25, 12:16:17] Хабиб Вентиляция : На объекте был ты
[10/11/25, 12:16:42] investklimat: Сегодня нет
[10/11/25, 12:17:27] investklimat: А что там?
‎[10/11/25, 12:33:52] investklimat: ‎<прикреплено: 00011114-AUDIO-2025-10-11-12-33-51.opus>
‎[10/11/25, 12:34:51] investklimat: ‎<прикреплено: 00011115-AUDIO-2025-10-11-12-34-51.opus>
[10/11/25, 17:02:31] Хабиб Вентиляция : Не открывает
[10/11/25, 17:02:43] Хабиб Вентиляция : Дверь котельной
‎[10/11/25, 17:05:40] investklimat: ‎<прикреплено: 00011119-AUDIO-2025-10-11-17-05-39.opus>
‎[10/11/25, 17:06:55] Хабиб Вентиляция : ‎<прикреплено: 00011120-AUDIO-2025-10-11-17-06-55.opus>
‎[10/11/25, 17:07:39] investklimat: ‎<прикреплено: 00011121-AUDIO-2025-10-11-17-07-38.opus>
[10/11/25, 17:07:58] Хабиб Вентиляция : Поставили зади зонта
‎[10/11/25, 17:08:24] Хабиб Вентиляция : ‎<прикреплено: 00011123-AUDIO-2025-10-11-17-08-24.opus>
[10/11/25, 17:50:38] Хабиб Вентиляция : Леса тоже сами думаем собрать
[10/11/25, 17:50:38] Хабиб Вентиляция : Ты договорился с кем то?
‎[10/11/25, 18:06:05] investklimat: ‎<прикреплено: 00011126-AUDIO-2025-10-11-18-06-05.opus>
‎[10/11/25, 18:19:31] Хабиб Вентиляция : ‎<прикреплено: 00011127-AUDIO-2025-10-11-18-19-31.opus>
[10/11/25, 18:33:51] investklimat: Да
[10/11/25, 18:45:14] Хабиб Вентиляция : Вариант брат папу тысяч ?
‎[10/11/25, 18:54:23] investklimat: ‎<прикреплено: 00011130-AUDIO-2025-10-11-18-54-23.opus>
[10/11/25, 18:56:03] Хабиб Вентиляция : Я брат дома уже
[10/11/25, 18:56:13] Хабиб Вентиляция : Связи не везде бывает
[10/11/25, 19:00:50] Хабиб Вентиляция : На работу буду ехать заеду
[10/12/25, 08:52:55] Хабиб Вентиляция : Ассаламу алайкум брат
[10/12/25, 08:53:08] Хабиб Вентиляция : Скажи пусть откроют котельную
[10/12/25, 09:03:21] investklimat: Ваалейкум Ассалам
‎[10/12/25, 09:06:12] investklimat: ‎<прикреплено: 00011137-AUDIO-2025-10-12-09-06-12.opus>
[10/12/25, 09:14:39] Хабиб Вентиляция : Ты дома?
[10/12/25, 09:15:01] investklimat: Да
[10/12/25, 09:19:58] Хабиб Вентиляция : Выйти к остановке можешь
[10/12/25, 09:20:15] investklimat: Сейчас?
‎[10/12/25, 09:20:35] Хабиб Вентиляция : ‎<прикреплено: 00011142-AUDIO-2025-10-12-09-20-35.opus>
[10/12/25, 09:20:47] investklimat: Хорошо
[10/12/25, 09:34:00] Хабиб Вентиляция : До кольца доезжаю
‎[10/12/25, 10:07:45] investklimat: ‎<прикреплено: 00011145-PHOTO-2025-10-12-10-07-45.jpg>
‎[10/12/25, 10:08:09] investklimat: ‎<прикреплено: 00011146-AUDIO-2025-10-12-10-08-09.opus>
[10/12/25, 10:08:44] Хабиб Вентиляция : Мин 15 буду
‎[10/12/25, 10:41:43] investklimat: ‎<прикреплено: 00011149-AUDIO-2025-10-12-10-41-43.opus>
‎[10/12/25, 10:42:22] investklimat: ‎<прикреплено: 00011150-AUDIO-2025-10-12-10-42-22.opus>
[10/12/25, 10:43:43] Хабиб Вентиляция : А че вывести нельзя собой
‎[10/12/25, 10:45:05] investklimat: ‎<прикреплено: 00011152-AUDIO-2025-10-12-10-45-05.opus>
[10/12/25, 10:46:36] Хабиб Вентиляция : Вывезим брат проблем нет
‎[10/12/25, 10:46:39] investklimat: ‎изображение отсутствует
[10/12/25, 10:46:44] Хабиб Вентиляция : Багажник возьму
[10/12/25, 10:46:49] investklimat: Какой длины?
‎[10/12/25, 10:47:47] Хабиб Вентиляция : ‎изображение отсутствует
‎[10/12/25, 10:50:24] Хабиб Вентиляция : ‎<прикреплено: 00011159-AUDIO-2025-10-12-10-50-24.opus>
‎[10/12/25, 10:51:35] investklimat: ‎<прикреплено: 00011160-AUDIO-2025-10-12-10-51-35.opus>
[10/12/25, 10:52:40] investklimat: +7 988 301-99-56
[10/12/25, 10:52:53] investklimat: Написал ему
[10/12/25, 10:57:49] Хабиб Вентиляция : Один монтажник ушел
[10/12/25, 10:57:57] Хабиб Вентиляция : Другой пришёл
[10/12/25, 10:58:10] Хабиб Вентиляция : Молодой же был когда зонт установили
[10/12/25, 10:58:27] investklimat: Понял
[10/12/25, 10:59:05] Хабиб Вентиляция : Хорошо было бы по считать внутрь
‎[10/12/25, 11:01:52] investklimat: ‎<прикреплено: 00011168-AUDIO-2025-10-12-11-01-52.opus>
[10/12/25, 11:07:15] Хабиб Вентиляция : Да
[10/12/25, 11:27:06] Хабиб Вентиляция : Чуть объясни брат в котле
‎[10/12/25, 11:35:13] investklimat: ‎видео отсутствует
‎[10/12/25, 13:44:33] Хабиб Вентиляция : ‎<прикреплено: 00011172-VIDEO-2025-10-12-13-44-33.mp4>
‎[10/12/25, 13:47:01] investklimat: ‎<прикреплено: 00011173-PHOTO-2025-10-12-13-47-00.jpg>
‎[10/12/25, 13:47:32] investklimat: ‎<прикреплено: 00011174-AUDIO-2025-10-12-13-47-32.opus>
‎[10/12/25, 13:48:21] Хабиб Вентиляция : ‎<прикреплено: 00011175-AUDIO-2025-10-12-13-48-21.opus>
‎[10/12/25, 13:52:51] investklimat: ‎<прикреплено: 00011176-AUDIO-2025-10-12-13-52-51.opus>
‎[10/12/25, 13:53:26] investklimat: ‎<прикреплено: 00011177-AUDIO-2025-10-12-13-53-26.opus>
‎[10/12/25, 13:56:03] investklimat: ‎<прикреплено: 00011178-AUDIO-2025-10-12-13-56-03.opus>
‎[10/12/25, 13:57:29] investklimat: ‎<прикреплено: 00011179-AUDIO-2025-10-12-13-57-29.opus>
‎[10/12/25, 13:59:24] investklimat: ‎<прикреплено: 00011180-AUDIO-2025-10-12-13-59-24.opus>
[10/12/25, 14:00:41] Хабиб Вентиляция : Нет
[10/12/25, 14:00:50] Хабиб Вентиляция : 1000на500
[10/12/25, 14:00:52] Хабиб Вентиляция : 4шт
‎[10/12/25, 14:01:23] investklimat: ‎<прикреплено: 00011184-AUDIO-2025-10-12-14-01-23.opus>
‎[10/12/25, 14:01:28] Хабиб Вентиляция : ‎<прикреплено: 00011185-AUDIO-2025-10-12-14-01-28.opus>
‎[10/12/25, 14:02:35] investklimat: ‎<прикреплено: 00011186-AUDIO-2025-10-12-14-02-35.opus>
‎[10/12/25, 14:18:59] Хабиб Вентиляция : ‎<прикреплено: 00011187-PHOTO-2025-10-12-14-18-59.jpg>
[10/12/25, 14:19:06] Хабиб Вентиляция : Тут остановился
[10/12/25, 14:19:13] Хабиб Вентиляция : Бухту надо убрать
[10/12/25, 14:19:23] Хабиб Вентиляция : И 15градус
‎[10/12/25, 14:20:04] investklimat: ‎<прикреплено: 00011191-AUDIO-2025-10-12-14-20-04.opus>
‎[10/12/25, 14:21:02] Хабиб Вентиляция : ‎<прикреплено: 00011192-AUDIO-2025-10-12-14-21-02.opus>
[10/12/25, 14:21:24] Хабиб Вентиляция : Бухта мешает
[10/12/25, 14:29:37] Хабиб Вентиляция : На верху либо с узит надо либо что то придумать
‎[10/12/25, 14:30:32] investklimat: ‎<прикреплено: 00011195-AUDIO-2025-10-12-14-30-32.opus>
‎[10/12/25, 14:35:11] investklimat: ‎аудиофайл отсутствует
[10/12/25, 14:37:08] Хабиб Вентиляция : Нет брат
[10/12/25, 14:37:13] Хабиб Вентиляция : Просто убрать надо
[10/12/25, 14:37:18] Хабиб Вентиляция : Она весит на блоке
‎[10/12/25, 14:37:46] Хабиб Вентиляция : ‎<прикреплено: 00011200-AUDIO-2025-10-12-14-37-46.opus>
‎[10/12/25, 14:40:48] investklimat: ‎<прикреплено: 00011201-AUDIO-2025-10-12-14-40-48.opus>
[10/12/25, 14:48:13] Хабиб Вентиляция : Нет
[10/12/25, 18:03:56] Хабиб Вентиляция : Не шитал?
[10/12/25, 18:07:42] investklimat: нет
[10/12/25, 18:07:51] investklimat: чуть другим занят, брат
[10/12/25, 18:32:01] Хабиб Вентиляция : С цеха не ответили?
[10/12/25, 18:33:06] investklimat: Ответили
[10/12/25, 18:33:17] investklimat: Говорят отправляли все
[10/12/25, 18:33:45] Хабиб Вентиляция : А бумаги есть?
[10/12/25, 18:34:16] investklimat: Нет
[10/12/25, 18:34:40] Хабиб Вентиляция : То что мне дал водитель там нет брат их
[10/12/25, 18:35:23] Хабиб Вентиляция : Накладной есть
‎[10/12/25, 18:37:03] investklimat: ‎<прикреплено: 00011213-AUDIO-2025-10-12-18-37-03.opus>
‎[10/12/25, 18:39:00] Хабиб Вентиляция : ‎<прикреплено: 00011214-AUDIO-2025-10-12-18-39-00.opus>
‎[10/12/25, 18:39:43] Хабиб Вентиляция : ‎<прикреплено: 00011215-AUDIO-2025-10-12-18-39-43.opus>
‎[10/12/25, 18:42:12] investklimat: ‎<прикреплено: 00011216-AUDIO-2025-10-12-18-42-12.opus>
[10/12/25, 19:20:25] Хабиб Вентиляция : Нету брат их
‎[10/12/25, 21:11:53] Хабиб Вентиляция : ‎<прикреплено: 00011218-AUDIO-2025-10-12-21-11-53.opus>
[10/13/25, 08:32:19] Хабиб Вентиляция : Ассаламу алайкум брат
[10/13/25, 08:33:42] investklimat: Ваалейкум Ассалам
[10/13/25, 08:34:25] Хабиб Вентиляция : На счёт деталей как брат
[10/13/25, 08:34:46] Хабиб Вентиляция : Заказал
‎[10/13/25, 08:34:50] investklimat: ‎<прикреплено: 00011223-AUDIO-2025-10-13-08-34-49.opus>
‎[10/13/25, 13:00:34] Хабиб Вентиляция : ‎<прикреплено: 00011224-AUDIO-2025-10-13-13-00-34.opus>
‎[10/13/25, 13:02:58] investklimat: ‎<прикреплено: 00011225-AUDIO-2025-10-13-13-02-58.opus>
‎[10/13/25, 13:19:50] investklimat: ‎<прикреплено: 00011227-AUDIO-2025-10-13-13-19-50.opus>
[10/13/25, 14:40:10] Хабиб Вентиляция : По считать не получилось?
‎[10/13/25, 14:41:39] investklimat: ‎<прикреплено: 00011229-AUDIO-2025-10-13-14-41-39.opus>
‎[10/13/25, 14:52:30] investklimat: 1 Нариман. Новый 20.05.xlsx ‎<прикреплено: 00011230-1 Нариман. Новый 20.05.xlsx>
‎[10/13/25, 14:52:30] investklimat: 2 Гурмит 29.07..xlsx ‎<прикреплено: 00011231-2 Гурмит 29.07..xlsx>
‎[10/13/25, 14:52:30] investklimat: 3. Гурмит.Дополнение.25.09.xlsx ‎<прикреплено: 00011232-3. Гурмит.Дополнение.25.09.xlsx>
‎[10/13/25, 14:55:02] investklimat: ‎<прикреплено: 00011233-AUDIO-2025-10-13-14-55-01.opus>
[10/13/25, 14:58:00] Хабиб Вентиляция : Котельная это все получается
[10/13/25, 14:58:35] investklimat: Да
[10/13/25, 14:59:30] investklimat: Тут все что внутри
[10/13/25, 15:02:02] Хабиб Вентиляция : Демонтаж монтаж тоже надо будет шитать
‎[10/13/25, 15:02:51] investklimat: ‎<прикреплено: 00011238-AUDIO-2025-10-13-15-02-51.opus>
[10/13/25, 20:46:45] Хабиб Вентиляция : Завтра выходит?
[10/13/25, 20:46:51] Хабиб Вентиляция : На работу
‎[10/13/25, 20:47:59] investklimat: ‎<прикреплено: 00011241-AUDIO-2025-10-13-20-47-59.opus>
‎[10/13/25, 20:49:23] Хабиб Вентиляция : ‎<прикреплено: 00011242-AUDIO-2025-10-13-20-49-23.opus>
‎[10/13/25, 20:50:45] investklimat: ‎<прикреплено: 00011243-AUDIO-2025-10-13-20-50-44.opus>
‎[10/13/25, 20:51:18] investklimat: ‎<прикреплено: 00011244-AUDIO-2025-10-13-20-51-18.opus>
‎[10/13/25, 20:51:46] investklimat: ‎<прикреплено: 00011245-VIDEO-2025-10-13-20-51-46.mp4>
‎[10/13/25, 20:51:52] Хабиб Вентиляция : ‎<прикреплено: 00011246-AUDIO-2025-10-13-20-51-52.opus>
‎[10/13/25, 20:52:02] investklimat: ‎<прикреплено: 00011247-AUDIO-2025-10-13-20-52-02.opus>
[10/13/25, 20:53:56] Хабиб Вентиляция : Это отпустить нало я знаю
‎[10/13/25, 20:54:08] investklimat: ‎<прикреплено: 00011249-AUDIO-2025-10-13-20-54-08.opus>
‎[10/13/25, 20:58:41] Хабиб Вентиляция : ‎<прикреплено: 00011250-AUDIO-2025-10-13-20-58-41.opus>
‎[10/13/25, 21:09:14] Хабиб Вентиляция : ‎<прикреплено: 00011251-AUDIO-2025-10-13-21-09-14.opus>
‎[10/13/25, 21:10:09] Хабиб Вентиляция : ‎<прикреплено: 00011252-AUDIO-2025-10-13-21-10-09.opus>
‎[10/13/25, 21:11:39] Хабиб Вентиляция : ‎<прикреплено: 00011253-AUDIO-2025-10-13-21-11-39.opus>
‎[10/13/25, 21:13:01] investklimat: ‎<прикреплено: 00011254-AUDIO-2025-10-13-21-13-01.opus>
‎[10/13/25, 21:15:11] investklimat: ‎<прикреплено: 00011255-AUDIO-2025-10-13-21-15-11.opus>
‎[10/13/25, 21:18:52] Хабиб Вентиляция : ‎<прикреплено: 00011256-AUDIO-2025-10-13-21-18-52.opus>
‎[10/13/25, 21:21:20] investklimat: ‎<прикреплено: 00011257-AUDIO-2025-10-13-21-21-20.opus>
‎[10/13/25, 21:23:26] Хабиб Вентиляция : ‎<прикреплено: 00011258-AUDIO-2025-10-13-21-23-26.opus>
‎[10/13/25, 21:31:05] Хабиб Вентиляция : ‎<прикреплено: 00011260-AUDIO-2025-10-13-21-31-05.opus>
‎[10/13/25, 21:33:40] Хабиб Вентиляция : ‎<прикреплено: 00011261-VIDEO-2025-10-13-21-33-40.mp4>
[10/13/25, 21:33:51] Хабиб Вентиляция : Сегодня чуть загружен был
[10/13/25, 21:33:58] Хабиб Вентиляция : С переездом
[10/13/25, 21:38:37] investklimat: Понял, брат. Двор или квартира?
[10/13/25, 21:38:50] Хабиб Вентиляция : Дом частный
[10/13/25, 21:39:01] Хабиб Вентиляция : После работы тут работа
[10/13/25, 21:39:31] investklimat: Четко 👍 В доме хорошо все равно
[10/13/25, 21:39:32] Хабиб Вентиляция : По белка установка кухни  водопровод
[10/13/25, 21:39:40] Хабиб Вентиляция : Конечно
[10/13/25, 21:39:58] Хабиб Вентиляция : Тишина пробок нет отдых.
[10/13/25, 21:40:20] Хабиб Вентиляция : Я устал от этой городской суеты по этому переехал сюда.
‎[10/13/25, 21:41:25] investklimat: ‎<прикреплено: 00011272-AUDIO-2025-10-13-21-41-25.opus>
[10/13/25, 21:42:29] Хабиб Вентиляция : Я жду 4 ребёнка брат сегодня завтра
[10/13/25, 21:43:02] Хабиб Вентиляция : Поликлиника проверка туда сюда
‎[10/13/25, 21:43:20] investklimat: ‎<прикреплено: 00011275-AUDIO-2025-10-13-21-43-20.opus>
[10/13/25, 21:44:01] Хабиб Вентиляция : Амин
[10/13/25, 21:44:05] Хабиб Вентиляция : Баркала
[10/13/25, 21:44:51] Хабиб Вентиляция : Тут в посёлке тоже делаю то что могу
[10/13/25, 21:45:01] Хабиб Вентиляция : То в такси то какая то шабашка
[10/13/25, 21:48:10] Хабиб Вентиляция : Чуть тяжело.ну не сдаюсь 😁
‎[10/13/25, 21:52:36] investklimat: ‎<прикреплено: 00011281-AUDIO-2025-10-13-21-52-36.opus>
‎[10/13/25, 22:06:16] Хабиб Вентиляция : ‎<прикреплено: 00011282-AUDIO-2025-10-13-22-06-16.opus>
‎[10/13/25, 22:06:28] Хабиб Вентиляция : ‎<прикреплено: 00011283-AUDIO-2025-10-13-22-06-28.opus>
[10/13/25, 22:12:21] investklimat: 👍
[10/14/25, 08:53:57] Хабиб Вентиляция : Ассаламу алайкум брат
[10/14/25, 08:54:05] Хабиб Вентиляция : Аванс нужен
[10/14/25, 08:54:08] Хабиб Вентиляция : Т 40
‎[10/14/25, 08:55:05] investklimat: ‎<прикреплено: 00011288-AUDIO-2025-10-14-08-55-05.opus>
[10/14/25, 08:57:30] Хабиб Вентиляция : Иди закрыть внутрь
[10/14/25, 09:55:25] Хабиб Вентиляция : 15градус отвод 2шт заказал?
[10/14/25, 09:56:28] Хабиб Вентиляция : 1200на300тоже нету
[10/14/25, 10:00:38] investklimat: 1) Отвод 15гр. 1200х300 - 2 шт. 2) Отвод 15гр. 1200х400 - 2 шт.
‎[10/14/25, 10:00:43] investklimat: ‎<прикреплено: 00011293-PHOTO-2025-10-14-10-00-43.jpg>
[10/14/25, 10:00:57] investklimat: Вот это все заказал
[10/14/25, 10:01:05] Хабиб Вентиляция : Замечательно
[10/14/25, 10:01:11] Хабиб Вентиляция : То что нужно
[10/14/25, 12:07:06] Хабиб Вентиляция : Номер нуралилова есть
[10/14/25, 12:07:15] Хабиб Вентиляция : Где коанштейн
[10/14/25, 12:08:10] investklimat: +7 (988) 290-82-93
‎[10/14/25, 12:08:55] Хабиб Вентиляция : ‎<прикреплено: 00011300-AUDIO-2025-10-14-12-08-55.opus>
‎[10/14/25, 12:10:08] investklimat: ‎<прикреплено: 00011301-AUDIO-2025-10-14-12-10-08.opus>
‎[10/14/25, 12:10:51] investklimat: ‎<прикреплено: 00011302-VIDEO-2025-10-14-12-10-51.mp4>
‎[10/15/25, 10:16:58] investklimat: ‎<прикреплено: 00011304-AUDIO-2025-10-15-10-16-58.opus>
[10/15/25, 10:26:55] investklimat: Не разбирай говорит
‎[10/15/25, 10:29:12] investklimat: ‎<прикреплено: 00011306-AUDIO-2025-10-15-10-29-12.opus>
‎[10/15/25, 10:30:36] Хабиб Вентиляция : ‎<прикреплено: 00011307-PHOTO-2025-10-15-10-30-36.jpg>
[10/15/25, 10:30:42] Хабиб Вентиляция : Вчера еше
‎[10/15/25, 10:33:43] investklimat: ‎<прикреплено: 00011309-AUDIO-2025-10-15-10-33-43.opus>
[10/15/25, 11:31:07] Хабиб Вентиляция : Про аванс забыл наверно он
[10/15/25, 11:31:42] investklimat: Сейчас спрошу
[10/15/25, 11:33:11] Хабиб Вентиляция : Круги на болгарка закончилось
[10/15/25, 11:34:32] Хабиб Вентиляция : Скотч то что было закончилось
[10/15/25, 11:34:53] Хабиб Вентиляция : Хоть над зонтом надо будет
‎[10/15/25, 11:45:04] investklimat: ‎<прикреплено: 00011315-AUDIO-2025-10-15-11-45-04.opus>
‎[10/15/25, 12:10:44] Хабиб Вентиляция : ‎изображение отсутствует
‎[10/15/25, 12:23:06] Хабиб Вентиляция : ‎изображение отсутствует
‎[10/15/25, 12:23:16] Хабиб Вентиляция : ‎изображение отсутствует
‎[10/15/25, 12:25:52] Хабиб Вентиляция : ‎изображение отсутствует
‎[10/15/25, 12:26:57] Хабиб Вентиляция : ‎изображение отсутствует
[10/15/25, 12:35:01] Хабиб Вентиляция : Закончили
[10/15/25, 12:35:05] Хабиб Вентиляция : Внутрь
[10/15/25, 12:51:38] Хабиб Вентиляция : Нужно с лесами разобраться
[10/15/25, 12:51:56] Хабиб Вентиляция : И какие то подпорки дать
‎[10/15/25, 13:05:54] investklimat: ‎<прикреплено: 00011325-AUDIO-2025-10-15-13-05-54.opus>
‎[10/15/25, 13:17:29] Хабиб Вентиляция : ‎<прикреплено: 00011326-AUDIO-2025-10-15-13-17-29.opus>
‎[10/15/25, 13:44:54] Хабиб Вентиляция : ‎изображение отсутствует
[10/15/25, 13:45:16] Хабиб Вентиляция : Труба мешает
‎[10/15/25, 13:46:00] investklimat: ‎<прикреплено: 00011329-AUDIO-2025-10-15-13-46-00.opus>
‎[10/15/25, 13:48:41] investklimat: ‎<прикреплено: 00011331-AUDIO-2025-10-15-13-48-41.opus>
‎[10/15/25, 14:28:39] Хабиб Вентиляция : ‎<прикреплено: 00011332-VIDEO-2025-10-15-14-28-39.mp4>
‎[10/15/25, 14:29:19] investklimat: ‎<прикреплено: 00011333-AUDIO-2025-10-15-14-29-19.opus>
